Unnamed: 0,Verduras HBE,Precio Verduras HBE,Verduras Soriana,Precio Verduras Soriana,Verduras Chedraui,Precio Verduras Chedraui,Verduras LaComer,Precio Verduras LaComer
,Betabel Rebotado 1 Kg,28.0,Corazon De Lechuga Garden Fresh 4 Pieza Bolsa,34.9,Flor de Calabazapor kg,102.0,Zanahoria Cambray,22.8
,Ajo En Malla,44.0,Champiñon Crimini Rebanado 225 Gr,28.8,Verdolaga por kg,24.5,Cebolla Amarilla,27.6
,Ejote Verde 1 Kg,51.0,Kale Vegatalistos 150Gr,32.8,Col Bruselas por kg,60.0,Chayote Con Espinas,37.3
,Palitos De Apio Heb 400 Gr,29.0,Champiñon Crimini Rebanado 250 Gr,29.8,Raíz de Azafrán por kg,39.3,Tomatoes Glorys,41.9
,Lechuga Italiana Nal,15.0,Guarnición De Verduras La Huerta 500 Gr,26.25,Jengibrepor kg,118.0,Pepino Europeo,14.4
,Floretes Brocoli En Bolsa 1Lb 454 Gr,23.0,Elote En Grano La Huerta 500 Gr,52.0,Colinabo Rollo,19.33,Chalot,164.2
,Champinon Bco Reb De 225 Gr,24.0,Papas A La Francesa Valley Farms Delgadas 1 Kg,60.25,Poro Pieza,19.8,Haba Verde,52.2
,Lechuga Hidroponica Francesa,31.0,Floretes De Brócoli Congelado Soriana En 500 G,30.0,Rábano Cambray Pieza,10.6,Ajo Italiano,201.5
,Ensalada Lechuga Hidroponica Italiana,31.0,Fresa Congelada Valley Foods,48.5,Hoja Santa Rollo,12.0,Camote Achicalado,87.0
,Champinon Cremini Reb De 225 Gr,23.0,Papa Grd A Cort Rizado 750G Valley Foods,46.0,Huazontle Rollo,19.0,Chile Cristal,59.7
,Tomate Cherubs 283 Gr,44.0,Verduras Congeladas Mezcla California La Huerta 500 Gr,31.75,Manzanilla Rollo,11.6,Papa Criolla,25.8
,Cebolla Amarilla 1 Kg,28.0,Frutos Del Huerto La Huerta 500 Gr,26.5,Hierbas de OlorPieza,9.5,Chile Manzano,77.6
,Camote Amarillo 1 Kg,48.0,Guarnicion Verduras Precissimo Bol 500Gr,18.9,Hierba Buena Rollo,7.9,Camote Blanco Nacional,74.6
,Vegetalistos Zanahoria Baby 340 Gr,23.0,Verdura Congelada Soriana Mezcla Campesina 500 G,29.5,Berros Rollo,15.0,Chicharo Limpio,104.9
,Champinon Cremini De 225 Gr,23.0,Papas A La Francesa Valley Farms Onduladas 500 G,49.5,Espinacas Rollo,5.5,Chayote Cambray,37.3
,Tomate D Glory 283 Gr,44.0,Chícharo La Huerta 500 Gr,58.5,Perejil Chino Rollo,13.0,Chicharo Chino,37.1
